STATE,COUNTY,FIPS,LOCATION,E_TOTPOP,EP_POV150,EP_AGE65,EP_DISABL,EP_LIMENG,EP_NOVEH,RPL_THEME1,EPL_AGE65,EPL_LIMENG,RPL_THEME2,RPL_THEME3,EPL_NOVEH,RPL_THEME4,RPL_THEMES,EP_NOINT
California,Alameda County,06001400100,Census Tract 4001; Alameda County; California,3269,7.4,27.0,11.1,0.4,6.9,0.0527,0.9155,0.0607,0.5783,0.134,0.6539,0.2353,0.1598,6.1
California,Alameda County,06001400200,Census Tract 4002; Alameda County; California,2147,8.8,25.8,8.7,0.7,9.5,0.1008,0.9015,0.0948,0.1454,0.1261,0.7654,0.5632,0.1827,1.3
California,Alameda County,06001400300,Census Tract 4003; Alameda County; California,5619,9.0,16.3,9.0,0.3,13.9,0.1872,0.6083,0.0509,0.1687,0.2432,0.8736,0.5062,0.2366,9.1
California,Alameda County,06001400400,Census Tract 4004; Alameda County; California,4278,12.1,12.9,9.3,0.5,14.1,0.0581,0.4265,0.0702,0.1609,0.1865,0.8773,0.4582,0.1451,2.5
California,Alameda County,06001400500,Census Tract 4005; Alameda County; California,3949,15.5,16.4,7.0,0.9,8.5,0.4501,0.6133,0.1136,0.0408,0.4302,0.7278,0.2419,0.2148,7.4
California,Alameda County,06001400600,Census Tract 4006; Alameda County; California,2058,10.1,7.8,9.8,0.4,9.4,0.1376,0.1268,0.0607,0.0581,0.4013,0.7619,0.7641,0.2489,5.2
California,Alameda County,06001400700,Census Tract 4007; Alameda County; California,4758,15.8,10.0,14.0,1.5,13.9,0.1806,0.2446,0.1752,0.2948,0.3557,0.8736,0.3942,0.2492,5.3
California,Alameda County,06001400800,Census Tract 4008; Alameda County; California,4335,14.5,12.8,11.3,3.1,10.0,0.2271,0.421,0.313,0.2762,0.3215,0.782,0.5022,0.296,1.6
California,Alameda County,06001400900,Census Tract 4009; Alameda County; California,2844,10.7,4.8,8.6,4.8,4.5,0.274,0.0368,0.4313,0.0534,0.4741,0.4934,0.2781,0.1687,0.7
California,Alameda County,06001401000,Census Tract 4010; Alameda County; California,6277,13.8,6.9,11.0,2.6,15.5,0.3656,0.0894,0.2697,0.051,0.5133,0.8968,0.6076,0.3187,4.0
California,Alameda County,06001401100,Census Tract 4011; Alameda County; California,5537,17.4,7.6,7.5,5.8,15.5,0.5718,0.1185,0.4893,0.0628,0.423,0.8968,0.7858,0.4854,5.5
California,Alameda County,06001401200,Census Tract 4012; Alameda County; California,2994,11.5,11.0,7.1,1.9,11.4,0.1753,0.3082,0.2097,0.0198,0.2567,0.8225,0.3941,0.094,2.8
California,Alameda County,06001401300,Census Tract 4013; Alameda County; California,4608,16.9,11.3,8.1,6.0,31.2,0.3515,0.3275,0.4984,0.0782,0.4866,0.9779,0.9149,0.4582,12.8
California,Alameda County,06001401400,Census Tract 4014; Alameda County; California,5392,41.4,7.9,16.3,5.2,16.4,0.8105,0.1318,0.4552,0.3868,0.5976,0.907,0.8372,0.7632,13.3
California,Alameda County,06001401500,Census Tract 4015; Alameda County; California,3035,26.7,5.8,14.7,4.1,29.0,0.6551,0.058,0.3853,0.3367,0.6432,0.9733,0.698,0.6312,19.9
California,Alameda County,06001401600,Census Tract 4016; Alameda County; California,2403,26.0,5.1,8.7,5.0,11.0,0.6583,0.0428,0.4443,0.2659,0.6847,0.8125,0.8381,0.6743,13.1
California,Alameda County,06001401700,Census Tract 4017; Alameda County; California,3276,17.6,4.0,4.5,0.9,4.3,0.346,0.024,0.1136,0.0274,0.3855,0.4761,0.5552,0.2382,2.6
California,Alameda County,06001401800,Census Tract 4018; Alameda County; California,1709,23.3,7.4,9.2,5.4,27.7,0.495,0.1093,0.4659,0.3344,0.612,0.9709,0.7834,0.5744,7.8
California,Alameda County,06001402200,Census Tract 4022; Alameda County; California,2337,24.2,10.6,18.3,5.5,18.6,0.5555,0.2816,0.472,0.4964,0.5287,0.9302,0.3739,0.5025,5.2
